CD_MUN,NM_MUN,Populacao_Residente_2022,Area_Da_Unidade_territorial_km²,Densidade_Demografica_2022
3550209,São Miguel Arcanjo,32039,"930,339","34,44"
3550308,São Paulo,11451999,"1521,202","7528,26"
3550407,São Pedro,38256,"611,278","62,58"
3550506,São Pedro do Turvo,7217,"731,221","9,87"
3550605,São Roque,79484,"306,908","258,98"
3550704,São Sebastião,81595,"402,395","202,77"
3550803,São Sebastião da Grama,10441,"252,41","41,37"
3550902,São Simão,13442,"617,252","21,78"
3551009,São Vicente,329911,"148,151","2226,86"
3551108,Sarapuí,10369,"352,592","29,41"
3551207,Sarutaiá,3704,"141,608","26,16"
3551306,Sebastianópolis do Sul,3130,"167,848","18,65"
3551405,Serra Azul,12746,"283,144","45,02"
3551504,Serrana,43909,"126,046","348,36"
3551603,Serra Negra,29894,"203,734","146,73"
3551702,Sertãozinho,126887,"403,089","314,79"
3551801,Sete Barras,12730,"1062,699","11,98"
3551900,Severínia,14576,"140,46","103,77"
3552007,Silveiras,6186,"414,782","14,91"
3552106,Socorro,40122,"449,029","89,35"
3552205,Sorocaba,723682,"449,872","1608,64"
3552304,Sud Mennucci,7355,"594,744","12,37"
3552403,Sumaré,279545,"153,465","1821,56"
3552502,Suzano,307429,"206,236","1490,67"
3552551,Suzanápolis,3408,"330,587","10,31"
3552601,Tabapuã,11323,"345,792","32,75"
3552700,Tabatinga,14769,"368,604","40,07"
3552809,Taboão da Serra,273542,"20,388","13416,81"
3552908,Taciba,6260,"607,267","10,31"
3553005,Taguaí,12669,"145,332","87,17"
3553104,Taiaçu,5677,"107,059","53,03"
3553203,Taiúva,6548,"132,459","49,43"
3553302,Tambaú,21435,"561,788","38,15"
3553401,Tanabi,25265,"747,218","33,81"
3553500,Tapiraí,7996,"755,1","10,59"
3553609,Tapiratiba,11816,"221,891","53,25"
3553658,Taquaral,2619,"53,892","48,6"
3553708,Taquaritinga,52260,"594,335","87,93"
3553807,Taquarituba,24350,"448,515","54,29"
3553856,Taquarivaí,6876,"231,792","29,66"
3553906,Tarabai,6536,"201,385","32,46"
3553955,Tarumã,14882,"302,913","49,13"
3554003,Tatuí,123942,"523,749","236,64"
3554102,Taubaté,310739,"625,003","497,18"
3554201,Tejupá,4127,"296,189","13,93"
3554300,Teodoro Sampaio,22173,"1555,803","14,25"
3554409,Terra Roxa,7904,"221,541","35,68"
3554508,Tietê,37663,"404,396","93,13"
3554607,Timburi,2464,"196,79","12,52"
3554656,Torre de Pedra,2046,"71,348","28,68"
3554706,Torrinha,9335,"315,267","29,61"
3554755,Trabiju,1682,"63,421","26,52"
3554805,Tremembé,51173,"191,094","267,79"
3554904,Três Fronteiras,6804,"151,594","44,88"
3554953,Tuiuti,6778,"126,731","53,48"
3555000,Tupã,63928,"627,986","101,8"
3555109,Tupi Paulista,15854,"244,77","64,77"
3555208,Turiúba,1818,"153,235","11,86"
3555307,Turmalina,1669,"147,797","11,29"
3555356,Ubarana,5365,"209,861","25,56"
3555406,Ubatuba,92981,"708,105","131,31"
3555505,Ubirajara,5132,"282,179","18,19"
3555604,Uchoa,10394,"252,434","41,18"
3555703,União Paulista,1603,"79,056","20,28"
3555802,Urânia,8833,"209,262","42,21"
3555901,Uru,1387,"146,901","9,44"
3556008,Urupês,13744,"323,916","42,43"
3556107,Valentim Gentil,14098,"149,741","94,15"
3556206,Valinhos,126373,"148,538","850,78"
3556305,Valparaíso,24241,"857,661","28,26"
3556354,Vargem,10512,"142,595","73,72"
3556404,Vargem Grande do Sul,40133,"267,178","150,21"
3556453,Vargem Grande Paulista,50415,"42,489","1186,54"
3556503,Várzea Paulista,115771,"35,12","3296,44"
3556602,Vera Cruz,10176,"247,716","41,08"
3556701,Vinhedo,76540,"80,95","945,52"
3556800,Viradouro,17414,"217,726","79,98"
3556909,Vista Alegre do Alto,8109,"95,429","84,97"
3556958,Vitória Brasil,1794,"49,832",36
3557006,Votorantim,127923,"184,186","694,53"
3557105,Votuporanga,96634,"420,703","229,7"
3557154,Zacarias,2692,"319,056","8,44"
3557204,Chavantes,12211,"188,727","64,7"
3557303,Estiva Gerbi,11295,"74,144","152,34"
