CD_MUN,NM_MUN,Populacao_Residente_2022,Area_Da_Unidade_territorial_km²,Densidade_Demografica_2022
3511508,Cerquilho,44695,"127,803","349,72"
3511607,Cesário Lange,19048,"190,392","100,05"
3511706,Charqueada,15535,"175,846","88,34"
3511904,Clementina,6982,"168,59","41,41"
3512001,Colina,18486,"422,303","43,77"
3512100,Colômbia,6629,"728,648","9,1"
3512209,Conchal,28101,"182,793","153,73"
3512308,Conchas,15232,"466,12","32,68"
3512407,Cordeirópolis,24514,"137,579","178,18"
3512506,Coroados,5400,"246,825","21,88"
3512605,Coronel Macedo,4280,"303,83","14,09"
3512704,Corumbataí,4195,"278,622","15,06"
3512803,Cosmópolis,59773,"154,665","386,47"
3512902,Cosmorama,8719,"441,68","19,74"
3513009,Cotia,274413,"323,994","846,97"
3513108,Cravinhos,33281,"311,423","106,87"
3513207,Cristais Paulista,9272,"385,23","24,07"
3513306,Cruzália,2108,"149,33","14,12"
3513405,Cruzeiro,74961,"305,699","245,21"
3513504,Cubatão,112476,"142,879","787,21"
3513603,Cunha,22110,"1407,25","15,71"
3513702,Descalvado,31756,"753,706","42,13"
3513801,Diadema,393237,"30,732","12795,69"
3513850,Dirce Reis,1620,"88,133","18,38"
3513900,Divinolândia,11158,"223,749","49,87"
3514007,Dobrada,8759,"149,729","58,5"
3514106,Dois Córregos,24510,"632,972","38,72"
3514205,Dolcinópolis,2207,"77,939","28,32"
3514304,Dourado,8096,"205,874","39,33"
3514403,Dracena,45474,"487,688","93,24"
3514502,Duartina,12328,"264,557","46,6"
3514601,Dumont,9471,"111,376","85,04"
3514700,Echaporã,6205,"515,258","12,04"
3514809,Eldorado,13069,"1654,256","7,9"
3514908,Elias Fausto,17699,"202,36","87,46"
3514924,Elisiário,3138,"93,98","33,39"
3514957,Embaúba,2323,"83,129","27,94"
3515004,Embu das Artes,250691,"70,398","3561,05"
3515103,Embu-Guaçu,66970,"155,641","430,29"
3515129,Emilianópolis,3014,"225,167","13,39"
3515152,Engenheiro Coelho,19566,"109,941","177,97"
3515186,Espírito Santo do Pinhal,39816,"389,235","102,29"
3515194,Espírito Santo do Turvo,4157,"193,666","21,46"
3515202,Estrela d'Oeste,9417,"296,281","31,78"
3515301,Estrela do Norte,2703,"264,987","10,2"
3515350,Euclides da Cunha Paulista,7924,"573,894","13,81"
3515400,Fartura,16641,"429,171","38,77"
3515509,Fernandópolis,71186,"549,797","129,48"
3515608,Fernando Prestes,5942,"169,99","34,95"
3515657,Fernão,1656,"100,504","16,48"
3515707,Ferraz de Vasconcelos,179198,"29,547","6064,85"
3515806,Flora Rica,1487,"224,711","6,62"
3515905,Floreal,2733,"204,236","13,38"
3516002,Flórida Paulista,12958,"524,138","24,72"
3516101,Florínea,3851,"225,886","17,05"
3516200,Franca,352536,"605,679","582,05"
3516309,Francisco Morato,165139,"49,001","3370,11"
3516408,Franco da Rocha,144849,"132,775","1090,94"
3516507,Gabriel Monteiro,2763,"138,681","19,92"
3516606,Gália,6380,"355,914","17,93"
3516705,Garça,42110,"555,807","75,76"
3516804,Gastão Vidigal,3252,"180,569","18,01"
3516853,Gavião Peixoto,4702,"243,766","19,29"
3516903,General Salgado,10312,"494,376","20,86"
3517000,Getulina,10232,"676,755","15,12"
3517109,Glicério,4138,"272,8","15,17"
3517208,Guaiçara,11239,"277,154","40,55"
3517307,Guaimbê,5512,"217,811","25,31"
3517406,Guaíra,39279,"1258,465","31,21"
3517505,Guapiaçu,21711,"325,126","66,78"
3517604,Guapiara,17071,"408,292","41,81"
3517703,Guará,18606,"362,183","51,37"
3517802,Guaraçaí,7441,"569,197","13,07"
3517901,Guaraci,10350,"641,501","16,13"
3518008,Guarani d'Oeste,1968,"85,7","22,96"
3518107,Guarantã,6427,"461,746","13,92"
3518206,Guararapes,31043,"955,637","32,48"
3518305,Guararema,31236,"270,816","115,34"
3518404,Guaratinguetá,118044,"752,636","156,84"
3518503,Guareí,15013,"567,884","26,44"
3518602,Guariba,37498,"270,289","138,73"
3518701,Guarujá,287634,"144,794","1986,5"
3518800,Guarulhos,1291771,"318,675","4053,57"
3518859,Guatapará,7320,"413,567","17,7"
3518909,Guzolândia,4246,"252,477","16,82"
3519006,Herculândia,9125,"364,252","25,05"
3519055,Holambra,15094,"65,577","230,17"
3519071,Hortolândia,236641,"62,416","3791,35"
3519105,Iacanga,10437,"547,393","19,07"
3519204,Iacri,6131,"321,948","19,04"
3519253,Iaras,8010,"401,381","19,96"
3519303,Ibaté,32178,"290,978","110,59"
3519402,Ibirá,11690,"271,912","42,99"
3519501,Ibirarema,6385,"228,23","27,98"
3519600,Ibitinga,60033,"689,391","87,08"
3519709,Ibiúna,75605,"1058,082","71,45"
3519808,Icém,7819,"362,355","21,58"
3519907,Iepê,7619,"594,974","12,81"
3520004,Igaraçu do Tietê,23106,"97,747","236,39"
3520103,Igarapava,26212,"468,355","55,97"
3520202,Igaratá,10605,"292,953","36,2"
3520301,Iguape,29115,"1978,795","14,71"
3520400,Ilhabela,34934,"346,389","100,85"
3520426,Ilha Comprida,13419,"196,567","68,27"
3520442,Ilha Solteira,25549,"652,641","39,15"
3520509,Indaiatuba,255748,"311,545","820,9"
3520608,Indiana,5090,"129,367","39,35"
3520707,Indiaporã,4035,"279,606","14,43"
3520806,Inúbia Paulista,3615,"87,119","41,49"
3520905,Ipaussu,13712,"209,554","65,43"
3521002,Iperó,36459,"170,289","214,1"
3521101,Ipeúna,6831,"190,01","35,95"
3521150,Ipiguá,6761,"136,028","49,7"
3521200,Iporanga,4046,"1152,059","3,51"
3521309,Ipuã,14454,"466,461","30,99"
3521408,Iracemápolis,21967,"115,118","190,82"
3521507,Irapuã,6867,"257,612","26,66"
3521606,Irapuru,7085,"214,461","33,04"
3521705,Itaberá,17983,"1100,247","16,34"
3521804,Itaí,25180,"1092,884","23,04"
3521903,Itajobi,16989,"502,066","33,84"
3522000,Itaju,3618,"230,355","15,71"
3522109,Itanhaém,112476,"601,711","186,93"
3522158,Itaoca,3422,"183,015","18,7"
3522208,Itapecerica da Serra,158522,"150,742","1051,61"
3522307,Itapetininga,157790,"1789,35","88,18"
3522406,Itapeva,89728,"1826,258","49,13"
3522505,Itapevi,232297,"82,658","2810,34"
3522604,Itapira,72022,"518,416","138,93"
3522653,Itapirapuã Paulista,4306,"406,478","10,59"
3522703,Itápolis,39493,"996,747","39,62"
3522802,Itaporanga,14085,"507,997","27,73"
3522901,Itapuí,13659,"140,023","97,55"
3523008,Itapura,3979,"301,653","13,19"
3523107,Itaquaquecetuba,369275,"82,622","4469,45"
3523206,Itararé,44438,"1003,86","44,27"
